날짜,시간,홈팀,원정팀,경기장,리그
2025-11-25,19:45:00,Luton Town,Huddersfield Town,Kenilworth Road,English League 1
2025-11-25,19:45:00,Peterborough United,Stevenage,Weston Homes Stadium,English League 1
2025-11-29,12:30:00,Blackpool,Reading,Bloomfield Road,English League 1
2025-11-29,15:00:00,Bradford City,Exeter City,University of Bradford Stadium,English League 1
2025-11-29,15:00:00,Burton Albion,Leyton Orient,Pirelli Stadium,English League 1
2025-11-29,15:00:00,Doncaster Rovers,Peterborough United,The Eco-Power Stadium,English League 1
2025-11-29,15:00:00,Huddersfield Town,AFC Wimbledon,Accu Stadium,English League 1
2025-11-29,15:00:00,Lincoln City,Port Vale,LNER Stadium,English League 1
2025-11-29,15:00:00,Luton Town,Bolton Wanderers,Kenilworth Road,English League 1
2025-11-29,15:00:00,Plymouth Argyle,Northampton Town,Home Park,English League 1
2025-11-29,15:00:00,Rotherham United,Wycombe Wanderers,AESSEAL New York Stadium,English League 1
2025-11-29,12:30:00,Stockport County,Barnsley,Edgeley Park,English League 1
2025-11-29,15:00:00,Wigan Athletic,Stevenage,The Brick Community Stadium,English League 1
2025-11-29,15:00:00,Cardiff City,Mansfield Town,Cardiff City Stadium,English League 1
2025-12-02,19:45:00,Wigan Athletic,Burton Albion,The Brick Community Stadium,English League 1
